ds,y
0,2925
1,3894
2,5635
3,9372
4,8380
5,6994
6,6903
7,6087
8,3979
9,4487
10,7782
11,7067
12,6950
13,5916
14,5924
15,3217
16,2999
17,4119
18,6197
19,6076
20,6548
21,5991
22,3428
23,2920
24,8156
25,6798
26,6638
27,6920
28,8548
29,6557
30,4710
31,7991
32,7098
33,6358
34,6114
35,5930
36,3712
37,3699
38,7153
39,6409
40,4220
41,6276
42,7318
43,4360
44,3221
45,4293
46,6200
47,7615
48,6858
49,6405
50,3802
51,3271
52,6923
53,6969
54,7291
55,6446
56,4800
57,4495
58,4262
59,7669
60,7149
61,7512
62,6929
63,6307
64,3775
65,3280
66,6717
67,6766
68,6589
69,6486
70,6155
71,5498
72,6302
73,10064
74,7736
75,7144
76,6810
77,6851
78,3886
79,3486
80,6912
81,7258
82,6794
83,6403
84,6549
85,4076
86,3472
87,7197
88,9648
89,7219
90,6214
91,5060
92,3150
93,2767
94,6611
95,6772
96,6504
97,6506
98,6504
99,3704
100,2963
101,6759
102,6186
103,6296
104,6398
105,6029
106,3413
107,3093
108,6839
109,6004
110,6274
111,5722
112,5542
113,3458
114,2895
115,6654
116,6257
117,6888
118,6018
119,5374
120,3272
121,3222
122,7467
123,6221
124,6290
125,6177
126,5547
127,3906
128,3579
129,7474
130,6803
131,6415
132,5569
133,5639
134,3214
135,2939
136,6576
137,5622
138,6122
139,5691
140,5597
141,3629
142,2930
143,5989
144,5834
145,5959
146,6396
147,5138
148,3066
149,2633
150,3123
151,5989
152,5956
153,5705
154,5583
155,3198
156,3084
157,6554
158,5867
159,5136
160,5741
161,5001
162,3026
163,2668
164,6553
165,6433
166,6091
167,5689
168,5209
169,3252
170,2956
171,6754
172,6484
173,6275
174,6415
175,5958
176,3381
177,3170
178,7266
179,6594
180,5852
181,5563
182,4997
183,2971
184,2262
185,3890
186,7529
187,8008
188,7093
189,5837
190,3367
191,2954
192,6670
193,6708
194,5820
195,6120
196,5805
197,3802
198,3080
199,6716
200,6654
201,6582
202,5723
203,5371
204,3724
205,3335
206,6618
207,6319
208,6501
209,5528
210,5164
211,2903
212,2559
213,6616
214,6341
215,6237
216,6116
217,5518
218,3172
219,2626
220,6214
221,6305
222,5939
223,5498
224,5348
225,3063
226,2521
227,5904
228,6088
229,5589
230,5786
231,5157
232,3191
233,2661
234,6476
235,6007
236,5869
237,5574
238,5510
239,3303
240,2946
241,6163
242,5580
243,6233
244,5732
245,5624
246,3290
247,2707
248,2860
249,6284
250,5896
251,5510
252,5430
253,2975
254,2695
255,6189
256,6019
257,5936
258,7345
259,8637
260,4401
261,3438
262,6833
263,6487
264,6135
265,6009
266,5915
267,3529
268,3270
269,6465
270,6504
271,6262
272,6627
273,7117
274,3684
275,3222
276,7049
277,6315
278,6309
279,6084
280,5803
281,3211
282,3030
283,3926
284,6755
285,6435
286,6381
287,6462
288,4763
289,3466
290,7095
291,7288
292,7253
293,6999
294,6996
295,4498
296,2998
297,6149
298,6065
299,5640
300,5586
301,5661
302,4393
303,3915
304,7736
305,7482
306,7288
307,7306
308,7372
309,4776
310,4382
311,8713
312,8597
313,8239
314,5190
315,6173
316,4015
317,3098
318,6507
319,6443
320,6719
321,6531
322,6540
323,4070
324,3761
325,5999
326,5477
327,5909
328,2677
329,4217
330,4549
331,3659
332,7165
333,6688
334,7635
335,7137
336,6772
337,4713
338,4346
339,8800
340,8550
341,7915
342,7740
343,6973
344,4107
345,3256
346,7424
347,8765
348,8642
349,7933
350,6802
351,4235
352,3436
353,6960
354,6983
355,6317
356,5687
357,3176
358,2523
359,3021
360,3174
361,5154
362,6159
363,5731
364,4215
365,2953
366,3127
