ds,y
0,182117
1,159489
2,198639
3,162854
4,158039
5,157840
6,163614
7,155877
8,161237
9,170548
10,177278
11,184281
12,178460
13,164830
14,177971
15,150971
16,151154
17,155252
18,156374
19,167500
20,162691
21,172818
22,161710
23,161867
24,167784
25,135965
26,145809
27,133439
28,143984
29,149082
30,152992
31,148795
32,139185
33,153688
34,170988
35,154459
36,178281
37,150818
38,152741
39,148947
40,151832
41,152903
42,158050
43,144487
44,135995
45,151636
46,156745
47,157537
48,212037
49,179472
50,176187
51,160747
52,177049
53,179514
54,179523
55,163277
56,159763
57,172774
58,179224
59,174429
60,189710
61,198246
62,205822
63,184686
64,189625
65,200075
66,196989
67,188009
68,184498
69,200932
70,184873
71,177284
72,211474
73,198427
74,196968
75,186106
76,202393
77,208524
78,203504
79,202213
80,189380
81,199363
82,189023
83,204013
84,206327
85,179196
86,206184
87,196268
88,210164
89,218254
90,210315
91,203762
92,208372
93,218688
94,216004
95,218487
96,254277
97,192235
98,222761
99,212075
100,231804
101,235141
102,238043
103,238695
104,229116
105,251576
106,228639
107,213589
108,240913
109,202429
110,222599
111,222661
112,246044
113,246244
114,131222
115,178772
116,181784
117,176866
118,176730
119,167388
120,168759
121,149338
122,157687
123,142069
124,205656
125,277866
126,276845
127,309695
128,253049
129,238452
130,206018
131,205488
132,199801
133,102481
